window,mean
354,29.891399999999997
355,22.4658
356,26.369999999999997
357,21.8078
358,23.8558
359,30.7716
360,24.186600000000002
361,30.481599999999997
362,27.616999999999997
363,30.130399999999998
364,24.685200000000002
365,25.5818
366,24.5922
367,26.8512
368,24.8174
369,25.374200000000002
370,27.3122
371,26.276799999999998
372,27.8276
373,23.598
374,27.238399999999995
375,25.7558
376,25.064999999999998
377,23.9648
378,25.777000000000005
379,27.287200000000006
380,28.3384
381,25.7354
382,23.6632
383,27.5236
384,31.4928
385,27.961000000000002
386,29.813
387,25.2134
388,22.6158
389,23.7862
390,25.845599999999997
391,25.6286
392,24.064
393,23.9908
394,26.414599999999997
395,26.644600000000004
396,24.4628
397,25.9868
398,27.0448
399,25.509400000000003
400,22.293200000000002
401,27.7736
402,23.3266
403,29.760400000000004
404,23.9114
405,24.3572
406,24.348800000000004
407,30.26
408,25.6284
409,31.420000000000005
410,25.7558
411,26.842200000000002
412,27.368399999999998
413,22.709
414,25.395400000000002
415,23.9848
416,27.142599999999995
417,26.216199999999997
418,24.968600000000002
419,25.3
420,23.873
421,26.4036
422,25.951999999999998
423,28.195399999999996
424,26.958800000000004
425,29.777599999999996
426,27.3354
427,27.7586
428,31.317999999999994
429,23.5968
430,26.438
431,23.888600000000004
432,26.413800000000002
433,26.587
434,27.623600000000003
435,24.5284
436,27.3632
437,25.0014
438,25.020200000000003
439,24.7084
440,26.8344
441,23.437
442,24.322200000000002
443,24.943999999999996
444,23.824999999999996
445,27.271800000000002
446,29.580400000000004
447,24.452199999999998
448,36.7776
449,28.9978
450,27.5696
451,25.726999999999997
452,27.6214
453,29.7592
454,26.967400000000005
455,30.901
456,26.156799999999997
457,21.506800000000002
458,31.824399999999997
459,25.714199999999998
460,23.9062
461,28.9138
462,24.113
463,23.952
464,23.557800000000004
465,25.07
466,30.7568
467,23.154600000000002
468,24.6426
469,30.104599999999998
470,25.734400000000004
471,24.778200000000002
472,27.232799999999997
473,29.2238
474,23.8394
475,29.492199999999997
476,29.3354
477,31.2372
478,26.0968
479,33.8744
480,23.930600000000002
481,26.099199999999996
482,23.956200000000003
483,24.6632
484,26.4692
485,23.354000000000003
486,23.919400000000003
487,29.4004
488,31.027400000000007
489,35.6576
490,25.6264
491,24.224199999999996
492,25.7706
493,23.685000000000002
494,23.504200000000004
495,29.752000000000002
496,29.004600000000003
497,25.9678
498,25.490199999999998
499,27.903
500,28.633000000000003
501,23.798399999999997
502,29.103600000000007
503,26.9986
504,26.2
505,25.2954
506,28.2334
507,24.9624
508,24.5198
509,25.351000000000003
510,24.069200000000002
511,24.424200000000003
512,25.1518
513,25.704199999999997
514,24.636
515,29.6496
516,28.3096
517,26.736400000000003
518,35.083
519,22.8376
520,26.5402
521,23.446200000000005
522,24.7554
523,27.4626
524,27.749599999999997
525,23.9016
526,24.7566
527,21.802
528,28.6558
529,22.6556
530,27.128800000000002
531,30.437
532,27.670799999999996
533,26.038800000000002
534,23.195800000000002
535,23.968
536,28.103199999999998
537,25.7642
538,23.703400000000002
539,24.169
540,22.9886
541,26.760399999999997
542,27.687
543,28.588599999999996
544,25.8274
545,25.646800000000002
546,28.02
547,25.888799999999996
548,23.8274
549,23.894600000000004
550,22.043200000000002
551,23.2798
552,26.2536
553,28.1416
554,32.53679999999999
555,22.9538
556,28.3514
557,28.232000000000006
558,24.1406
559,26.399800000000006
560,24.1494
561,25.4326
562,25.081
563,37.218399999999995
564,21.859
565,32.69080000000001
566,24.702199999999998
567,30.380000000000003
568,24.727
569,28.0788
570,24.1476
571,29.086599999999997
572,25.2472
573,29.7752
574,24.8992
575,24.6252
576,27.208800000000004
577,23.721400000000006
578,26.186600000000006
579,26.378799999999995
580,24.2452
581,23.895599999999998
582,24.3282
583,30.541999999999994
584,27.6192
585,24.614600000000003
586,27.241600000000005
587,26.4212
588,27.471600000000002
589,35.281600000000005
590,23.621000000000002
591,26.8818
592,24.066399999999998
593,23.295399999999997
594,27.5298
595,30.4344
596,29.925600000000003
597,26.869600000000002
598,26.8568
599,27.190999999999995
600,25.895399999999995
601,26.2202
602,27.565199999999997
603,38.0988
604,24.041
605,23.6084
606,26.144
607,23.1382
608,27.139
609,23.7154
610,23.8108
611,22.9712
