window, mean latency
439,5.889199999999999
440,5.6148
441,5.722599999999999
442,6.133
443,5.6014
444,7.0268
445,5.8362
446,7.265799999999999
447,6.5954
448,6.062
449,5.6542
450,5.3038
451,5.986800000000001
452,6.1678
453,5.1228
454,5.642999999999999
455,5.8726
456,5.346399999999999
457,6.683199999999999
458,6.0682
459,5.7566
460,6.5282
461,5.887199999999998
462,6.741
463,5.662999999999999
464,6.054
465,6.3478
466,5.592599999999999
467,5.5078000000000005
468,6.512600000000001
469,6.246599999999999
470,5.9176
471,6.097999999999999
472,5.608
473,5.036
474,5.5
475,5.3546
476,6.028799999999999
477,5.606800000000001
478,9.4088
479,6.6251999999999995
480,6.4004
481,6.943400000000001
482,6.8172
483,6.329
484,6.5074
485,5.879
486,5.6827999999999985
487,6.4762
488,5.5203999999999995
489,5.457600000000001
490,6.0636
491,5.6008
492,6.2063999999999995
493,6.2345999999999995
494,5.8884
495,6.2184
496,5.595599999999999
497,5.994400000000001
498,4.9938
499,5.767
500,5.670399999999999
501,6.5144
502,6.8456
503,6.8504000000000005
504,6.970400000000001
505,6.4168
506,5.4042
507,6.1693999999999996
508,5.985600000000001
509,5.7166
510,5.8362
511,6.6182
512,6.4096
513,7.133600000000001
514,5.715199999999999
515,5.4494
516,5.069799999999999
517,5.547399999999999
518,5.0725999999999996
519,5.8549999999999995
520,6.0478
521,5.525599999999999
522,6.6272
523,5.826999999999999
524,5.563599999999999
525,5.7482
526,5.433999999999999
527,6.406200000000001
528,6.2437999999999985
529,8.822
530,7.0646
531,6.503399999999999
532,6.213
533,5.9194
534,5.5042
535,5.386
536,5.982799999999999
537,6.1541999999999994
538,6.1922
539,6.001
540,6.2490000000000006
541,5.7186
542,5.720599999999999
543,6.206
544,5.4532
545,4.8668
546,5.9448
547,6.1903999999999995
548,5.0002
549,9.019
550,5.1746
551,5.7452
552,5.292199999999999
553,6.449599999999999
554,5.3736
555,6.975199999999999
556,6.249799999999999
557,6.112599999999999
558,6.427399999999999
559,6.194999999999999
560,5.9844
561,6.874600000000001
562,5.5752
563,6.4159999999999995
564,5.668799999999999
565,5.888799999999999
566,5.7543999999999995
567,6.021199999999999
568,5.9166
569,5.8428
570,6.539399999999999
571,5.0228
572,6.878399999999999
573,5.9002
574,5.9559999999999995
575,6.036
576,5.8946
577,6.1742
578,5.4766
579,8.6036
580,7.169399999999999
581,6.6968000000000005
582,6.8629999999999995
583,6.049
584,5.477199999999999
585,5.8178
586,6.6836
587,6.4504
588,7.8972
589,6.8648
590,7.198599999999999
591,6.3553999999999995
592,6.3728
593,5.671200000000001
594,5.801999999999999
595,6.699800000000001
596,5.4958
597,7.4554
598,5.958799999999999
599,6.5268
600,5.631799999999999
601,5.6956
602,5.2702
603,5.9306
604,5.5022
605,5.7948
606,5.5968
607,5.510599999999999
608,5.702999999999999
609,5.516000000000001
610,5.0882
611,5.4456
